,File,HLA,Avg_Token_NLL,model_path
776,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAB5701_2_per_token_metrics.csv,B5701,12.391470700216402,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB5701/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_6_HLAB5701_2.pt
1681,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAB3508_2_per_token_metrics.csv,B3508,12.393206673634603,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB3508/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAB3508_2.pt
1637,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAA3001_1_per_token_metrics.csv,A3001,12.422830160561837,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3001/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAA3001_1.pt
1459,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAB3901_2_per_token_metrics.csv,B3901,12.483333138302713,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB3901/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAB3901_2.pt
756,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAC0303_1_per_token_metrics.csv,C0303,12.485285547646816,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC0303/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAC0303_1.pt
820,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA0212_1_per_token_metrics.csv,A0212,12.53140535161254,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0212/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA0212_1.pt
539,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA3201_2_per_token_metrics.csv,A3201,12.655491662601873,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3201/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA3201_2.pt
669,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_HLAA6901_2_per_token_metrics.csv,A6901,12.695308876854762,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA6901/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_HLAA6901_2.pt
809,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB1517_1_per_token_metrics.csv,B1517,12.706462930510238,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB1517/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB1517_1.pt
963,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_HLAA0207_1_per_token_metrics.csv,A0207,12.784637578896119,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0207/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_HLAA0207_1.pt
1627,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAB1502_2_per_token_metrics.csv,B1502,12.798176447586998,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB1502/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAB1502_2.pt
548,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAB1542_2_per_token_metrics.csv,B1542,12.889191963791653,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB1542/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAB1542_2.pt
1277,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAB3501_1_per_token_metrics.csv,B3501,12.89496000085123,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB3501/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_3_HLAB3501_1.pt
462,ESMMASK_epitope_FT_15_0.001_5e-05_AUG_6_HLAA2601_2_per_token_metrics.csv,A2601,12.894994883295965,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2601/ESMMASK_epitope_FT_15_0.001_5e-05_AUG_6_HLAA2601_2.pt
1618,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_1_HLAA2403_2_per_token_metrics.csv,A2403,12.909212299803942,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2403/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_1_HLAA2403_2.pt
1286,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAA0203_2_per_token_metrics.csv,A0203,12.94776381908329,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA0203/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_6_HLAA0203_2.pt
1296,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA2902_2_per_token_metrics.csv,A2902,12.952467940183482,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA2902/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAA2902_2.pt
