HLA,group_label,training_data,n_reps,mean,std
A0301,Non-PT H 30L,2511.2000000000003,3,0.49823811011794045,0.04264656054078184
A0301,Non-PT H 30L,5022.400000000001,3,0.5163408789253365,0.005838609775243343
A0301,PT E 0L,1255.6000000000001,3,0.23209213682762977,0.008899801390898975
A0301,PT E 0L,2511.2000000000003,4,0.3048869700962533,0.03380668788797235
A0301,PT E 0L,3766.7999999999997,4,0.30699036596340296,0.03332395704843761
A0301,PT E 30L,1255.6000000000001,4,0.5063684155882708,0.030670490755870146
A0301,PT E 30L,2511.2000000000003,3,0.5260989827461015,0.016241229090785465
A0301,PT E 30L,3766.7999999999997,4,0.5527473646082167,0.023091437618510242
A0301,PT E 30L,5964.099999999999,3,0.5690643968974962,0.01689254346603125
A0301,PT H 0L,1255.6000000000001,4,0.29080847568868246,0.002519859466007658
A0301,PT H 0L,2511.2000000000003,4,0.30075078807577676,0.0024575108245223835
A0301,PT H 0L,3766.7999999999997,4,0.2980849063475465,0.00442247969018975
A0301,PT H 30L,2511.2000000000003,4,0.5431156806040809,0.027792249259578742
A0301,PT H 30L,3766.7999999999997,4,0.5108647101584879,0.02738998678056189
A0301,PT H 30L,5022.400000000001,3,0.5515949023862073,0.03974231329978864
A1101,Non-PT H 0L,1143.4,3,0.16024526883601953,0.08406069428054927
A1101,Non-PT H 0L,3430.2,3,0.2206812909536615,0.037180354263898235
A1101,Non-PT H 0L,4573.6,3,0.21447224488627623,0.05637770705141622
A1101,Non-PT H 0L,5431.15,3,0.138202175000483,0.04852541052070068
A1101,Non-PT H 30L,1143.4,3,0.6116943457879559,0.1181093835512926
A1101,Non-PT H 30L,4573.6,3,0.7181605585839237,0.019240129552590402
A1101,Non-PT H 30L,5431.15,3,0.7635528025810489,0.019719116325085034
A1101,PT E 0L,1143.4,3,0.18244339679371033,0.036291704280066596
A1101,PT E 0L,2286.8,4,0.2170907142420507,0.05058638575061455
A1101,PT E 0L,3430.2,4,0.2857361604930273,0.03449180493031586
A1101,PT E 30L,1143.4,4,0.6986561287557057,0.03467907420681776
A1101,PT E 30L,2286.8,4,0.6600845164121661,0.07267473068726535
A1101,PT E 30L,3430.2,4,0.6909020419548271,0.029364360074451056
A1101,PT E 30L,4573.6,3,0.7667887686717378,0.006519694376254632
A1101,PT E 30L,5431.15,3,0.7677714884259056,0.02602696982153445
A1101,PT H 0L,1143.4,4,-0.1524530230223419,0.23967316493218874
A1101,PT H 0L,2286.8,4,0.10441286904548318,0.3073326195790356
A1101,PT H 30L,1143.4,4,0.7069523783285702,0.06288991813094906
A1101,PT H 30L,3430.2,4,0.7568422972429795,0.03236691803340531
A1101,PT H 30L,5431.15,3,0.7732894072473201,0.03152528851751736
A2402,Non-PT H 0L,495.40000000000003,3,0.10254041995031353,0.023690377763093674
A2402,Non-PT H 0L,1486.2,3,0.10585841572733178,0.007130316941397568
A2402,Non-PT H 0L,1981.6000000000001,3,0.12144560322817587,0.014702213028543649
A2402,Non-PT H 0L,2353.15,3,0.12453051306332226,0.0014152942924710258
A2402,Non-PT H 30L,495.40000000000003,3,0.27015530386604164,0.020032020748133126
A2402,Non-PT H 30L,990.8000000000001,3,0.25577181391575926,0.08965357453125702
A2402,Non-PT H 30L,1981.6000000000001,3,0.3124978004333106,0.004848600064922767
A2402,Non-PT H 30L,2353.15,3,0.27696871904747294,0.05856600101719422
A2402,PT E 0L,495.40000000000003,4,0.11397250264782752,0.02568563415651047
A2402,PT E 0L,990.8000000000001,4,0.12464792575792188,0.017222166047656196
A2402,PT E 0L,1486.2,4,0.13640550253657588,0.014313890080238478
A2402,PT E 30L,495.40000000000003,4,0.28394629457042786,0.03376734833441722
A2402,PT E 30L,990.8000000000001,4,0.3250603064627196,0.020667148978811195
A2402,PT E 30L,1486.2,4,0.3340430298923365,0.028219778355244547
A2402,PT E 30L,1981.6000000000001,3,0.3437869789586074,0.01692711358865375
A2402,PT E 30L,2353.15,3,0.3136440962220682,0.04967831667933599
A2402,PT H 0L,495.40000000000003,3,0.12697878517663977,0.013171359368285875
A2402,PT H 0L,990.8000000000001,3,0.11262573555458699,0.004216491631900111
A2402,PT H 0L,1486.2,4,0.07883544920340295,0.02205285968376262
A2402,PT H 30L,495.40000000000003,3,0.17274625353156217,0.030809659530524478
A2402,PT H 30L,1981.6000000000001,3,0.13406790275946426,0.10389349750897856
A2601,Non-PT H 0L,1330.4,3,0.11309523809523807,0.18767282284703377
A2601,Non-PT H 0L,1995.6,3,-0.09999999999999999,0.11151782139997131
A2601,Non-PT H 0L,3159.7,3,-0.0464285714285714,0.06813851438692471
A2601,Non-PT H 30L,3159.7,3,0.613095238095238,0.1842778698957998
A2601,PT E 0L,665.2,4,0.19017857142857136,0.2998919164709609
A2601,PT E 0L,1995.6,3,-0.0488095238095238,0.22902670432182567
A2601,PT E 30L,1330.4,4,0.5312499999999999,0.08637518028176555
A2601,PT E 30L,1995.6,3,0.46190476190476176,0.0718144339612175
A2601,PT H 0L,665.2,3,-0.075,0.10862075946961099
A2601,PT H 0L,1330.4,4,0.028571428571428577,0.2237398574450332
A2601,PT H 30L,1330.4,3,0.1583333333333333,0.20535973083255396
A3001,PT E 0L,540.0,3,0.34971957790971375,0.012270862382796947
A3001,PT E 30L,540.0,3,0.541963088573533,0.025543837006396414
A3001,PT H 0L,270.0,3,-0.6687619998624351,0.03246565023717828
A3001,PT H 30L,540.0,3,-0.39880302744090174,0.04908344953118789
A3001,PT H 30L,1080.0,3,0.06748974310538332,0.5829628303629589
A3101,PT H 0L,1950.4,3,-0.2142857142857143,0.25084889887744616
A3301,Non-PT H 30L,2349.6,3,0.6510944047708627,0.08998546047769661
A3301,PT E 0L,1762.2,4,-0.12366565804901122,0.1724775304162791
A3301,PT E 30L,587.4,3,0.27904045918751247,0.17620699772967602
A3301,PT H 0L,1174.8,3,-0.016911542981061362,0.2931909974077665
A6801,Non-PT H 0L,611.6,3,0.4177518955679255,0.13354453793080448
A6801,Non-PT H 0L,1834.8,3,0.2937671588365928,0.19868208406081397
A6801,Non-PT H 0L,2446.4,3,0.3830996645991575,0.09576952629959533
A6801,Non-PT H 0L,2905.1,3,0.4972561369913952,0.03876427138212828
A6801,Non-PT H 30L,611.6,3,0.5241065498765517,0.16375899930206683
A6801,Non-PT H 30L,1223.2,3,0.5961804883632486,0.03170060886810414
A6801,Non-PT H 30L,1834.8,3,0.5819278163663478,0.12255264974267387
