,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum
140,A0202,Hubber,HLA,0.8,30,0.0001,0.0001,367,0.8719128905423801,0.8541551366695681,0.2993870813864809,0.3514856339587097,0.7160460598906178,0.547162755847363,2025-04-22 23:17:53,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_A0202_1_0.0001_0.0001__1_A0202_0404_Hubber_A0202.csv,A0202 HLA,2.0,2.0,4.0
378,B5801,Hubber,HLA,0.95,30,0.0001,0.0001,122,0.8667053857697425,0.8587019396674019,0.36207493938033974,0.4703636676317356,0.7336092164262111,0.6017266317692277,2025-04-23 02:31:53,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_20_0.001_5e-05_AUG_1_B5801_1_0.0001_0.0001__1_B5801_0404_Hubber_B5801.csv,B5801 HLA,2.0,1.0,3.0
441,A0205,Hubber,epitope,0.8,30,,4,8,0.8624886920341298,0.8133548579650701,0.31431057997149203,0.38934762775897974,0.6542682797125579,0.5606340874148592,2025-05-28 12:59:53,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.8_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_A0205_0404_Hubber_A0205.csv,A0205 epitope,9.0,2.0,11.0
7092,B5101,Hubber,epitope,0.4,30,0.0001,0.0001,7,0.8571428571428573,0.8335158442861929,0.39581800068534834,0.5246881076267786,0.4723542855202615,0.6291406843348698,2025-05-28 19:57:43,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B5101_1_0.0001_0.0001__7_B5101_0404_Hubber_B5101.csv,B5101 epitope,1.0,1.0,2.0
3234,B5701,Hubber,epitope,0.2,0,0.0001,0.0001,7,0.8571428571428573,0.7367054781540388,0.15549391376243957,0.36412692070007324,-0.24678986582848506,0.39432716589456474,2025-05-28 10:13:55,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.2_0_ESMMASK_epitope_FT_25_0.001_5e-05_AUG_4_B5701_1_0.0001_0.0001__2_B5701_0404_Hubber_B5701.csv,B5701 epitope,6.0,2.0,8.0
57,A8001,Hubber,epitope,0.95,30,0.0001,0.0001,30,0.8560390651856851,0.8682579786594516,0.2704908435497965,0.4159280896186829,0.7093583462689507,0.5200873422318568,2025-05-28 21:00:59,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_A8001_2_0.0001_0.0001__8_A8001_0404_Hubber_A8001.csv,A8001 epitope,1.0,3.0,4.0
339,A8001,Hubber,HLA,0.95,30,0.0001,0.0001,30,0.8538433271852159,0.8658587207905788,0.47660525680167304,0.47473118702570594,0.7257233678703978,0.6903660310311285,2025-04-23 02:24:13,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_1e-05_AUG_3_A8001_2_0.0001_0.0001__1_A8001_0404_Hubber_A8001.csv,A8001 HLA,1.0,1.0,2.0
36,A2403,Hubber,HLA,0.8,30,0.0001,0.0001,45,0.8514232322425078,0.8970555800777499,0.27964007693437104,0.40613431798087224,0.7978380480666155,0.5288100575200618,2025-04-23 01:00:09,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_3_A2403_2_0.0001_0.0001__1_A2403_0404_Hubber_A2403.csv,A2403 HLA,2.0,3.0,5.0
5689,A0212,Hubber,epitope,0.4,30,0.0001,0.0001,18,0.8482780084287228,0.8190739104739118,0.8243625888327968,0.792249427901374,0.47467658620069386,0.9079441551289357,2025-05-28 09:12:35,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.4_30_ESMMASK_epitope_FT_15_1e-05_1e-06_AUG_4_A0212_2_0.0001_0.0001__1_A0212_0404_Hubber_A0212.csv,A0212 epitope,6.0,1.0,7.0
1352,A0219,Hubber,epitope,0.6,30,0.0001,0.0001,16,0.8410481919031223,0.7087838335352306,0.7235626960072302,0.6924482546746731,0.4979763073041972,0.8506248856030666,2025-05-28 10:06:10,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_30_ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_4_A0219_2_0.0001_0.0001__2_A0219_0404_Hubber_A0219.csv,A0219 epitope,2.0,1.0,3.0
