,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum,pretrain
3605,A0211,Hubber,HLA,0.2,0,0.0001,0.0001,9,0.4333333333333333,0.1362938062377302,0.3236898132704165,0.421149280336168,-0.0093068828820728,0.5689374423171818,2025-05-28 20:18:09,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.2_0_ESMMASK_HLA_FT_15_0.001_1e-05_AUG_4_A0211_1_0.0001_0.0001__7_A0211_0404_Hubber_A0211.csv,A0211 HLA,1.0,9.0,10.0,Pretrained
7267,B1502,Hubber,epitope,0.8,30,0.0001,0.0001,9,0.4166666666666666,0.2252021130657811,0.6080928227855807,0.5841144323348999,-0.0754011449226832,0.7798030666684895,2025-04-23 02:53:40,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_20_0.0001_5e-05_AUG_3_B1502_1_0.0001_0.0001__1_B1502_0404_Hubber_B1502.csv,B1502 epitope,8.0,7.0,15.0,Pretrained
7562,C0702,Hubber,HLA,0.95,30,0.0001,0.0001,11,0.4090909090909091,0.4127583877059256,0.4033567014634359,0.4803310307589444,-0.0027647736556433,0.6351036934733066,2025-04-23 02:52:36,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_1_C0702_2_0.0001_0.0001__1_C0702_0404_Hubber_C0702.csv,C0702 HLA,11.0,11.0,22.0,Pretrained
4677,B1402,Hubber,HLA,0.2,30,0.0001,0.0001,6,0.3714285714285715,0.2855523884144539,0.8934263732588597,0.9113743503888448,-12.718885322537718,0.9452123429467368,2025-05-28 20:19:34,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.2_30_ESMMASK_HLA_FT_20_1e-05_1e-05_AUG_3_B1402_2_0.0001_0.0001__8_B1402_0404_Hubber_B1402.csv,B1402 HLA,8.0,13.5,21.5,Pretrained
2727,A0217,Hubber,HLA,0.6,30,0.0001,0.0001,20,0.3699248120300751,0.46348822677736,0.3730585436592306,0.5117887020111084,0.1595215728646913,0.6107851861818774,2025-05-28 21:23:19,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.6_30_ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_A0217_1_0.0001_0.0001__7_A0217_0404_Hubber_A0217.csv,A0217 HLA,4.0,6.0,10.0,Pretrained
6370,B1502,Hubber,HLA,0.8,0,0.0001,0.0001,9,0.3666666666666667,0.3326126411336462,1.009489143626809,0.8674493299590217,-0.1941819531878534,1.0047333694203695,2025-05-28 20:19:45,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.8_0_ESMMASK_HLA_FT_15_0.001_1e-05_AUG_1_B1502_1_0.0001_0.0001__8_B1502_0404_Hubber_B1502.csv,B1502 HLA,17.0,6.0,23.0,Pretrained
7364,A2402,Hubber,epitope,0.8,30,0.0001,0.0001,132,0.3630635342408699,0.3306410581364937,2.413158134590703,1.1977353164305289,0.0875928615091832,1.5534343032747484,2025-04-23 02:36:16,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A2402_1_0.0001_0.0001__1_A2402_0404_Hubber_A2402.csv,A2402 epitope,1.0,1.0,2.0,Pretrained
6168,A2402,Hubber,HLA,0.4,30,,2.0,132,0.3380154927262894,0.2991778101383612,2.490647101533482,1.2059038738071015,0.058294538461298,1.578178412453257,2025-05-29 02:44:03,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.4_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_A2402_0404_Hubber_A2402.csv,A2402 HLA,2.0,1.0,3.0,Not Pretrained
3509,B1542,Hubber,epitope,0.6,0,0.0001,0.0001,9,0.273861278752583,0.233728443488465,0.0032043478329468,0.0529125001695421,-137.47916549862433,0.0566069592271732,2025-05-28 22:28:38,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_0_ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_4_B1542_2_0.0001_0.0001__7_B1542_0404_Hubber_B1542.csv,B1542 epitope,2.0,9.5,11.5,Pretrained
2108,B2703,Hubber,HLA,0.95,30,0.0001,0.0001,12,0.131013944022344,0.0977991383968932,0.0240557345983725,0.1451242367426552,-0.5151835011367514,0.1550991121778993,2025-05-28 20:38:06,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_1e-05_AUG_3_B2703_2_0.0001_0.0001__8_B2703_0404_Hubber_B2703.csv,B2703 HLA,4.0,18.5,22.5,Pretrained
